date,signal_time,entry_time,symbol,side,strike,entry_price,prev_close,day_open,vwap,atr,atr_pct,rvol,range_atr,move_from_open_atr,off_extreme_atr,est_premium,best_price,best_pct,worst_price,worst_pct,close_price,half_out_time,exit_time,exit_reason,option_return_pct
2026-07-03,09:27,09:28,MARICO,PUT,840,841.25,856.00,873.00,858.28,17.09,2.03,18.9,1.76,1.60,0.16,16.65,838.40,0.34,849.00,-0.92,842.75,,15:20,close,-13.0
2026-07-03,09:27,09:28,PNB,PUT,105,104.50,106.91,107.00,104.85,2.20,2.11,6.8,1.25,1.13,0.11,2.50,104.11,0.37,106.24,-1.67,105.08,,15:20,close,-19.8
2026-07-03,09:27,09:28,UNIONBANK,PUT,165,162.88,174.35,168.79,164.28,3.88,2.38,6.6,1.60,1.47,0.13,5.13,161.60,0.79,164.20,-0.81,163.00,,15:20,close,-9.0
2026-07-03,09:49,09:50,BANKBARODA,PUT,250,251.35,260.25,258.25,254.27,7.38,2.94,5.0,1.12,0.98,0.14,6.77,250.10,0.50,255.50,-1.65,252.05,,15:20,close,-13.3
2026-07-07,09:27,09:28,KALYANKJIL,PUT,350,352.55,381.25,360.85,357.39,12.96,3.68,18.7,1.20,0.67,0.05,11.80,348.35,1.19,363.20,-3.02,356.05,,15:20,close,-21.4
2026-07-07,09:28,09:29,TITAN,CALL,4600,4596.30,4484.40,4550.00,4548.04,97.29,2.12,18.4,1.03,0.50,0.06,96.49,4655.90,1.30,4575.10,-0.46,4613.80,,15:20,close,0.5
2026-07-07,09:48,09:49,TRENT,PUT,3000,3002.60,3343.80,3080.00,3037.45,83.95,2.80,12.4,1.04,0.99,0.05,83.50,2925.00,2.58,3003.80,-0.04,2950.50,12:43,15:20,close,27.0
2026-07-08,09:27,09:28,NAUKRI,CALL,1200,1206.25,1159.45,1172.00,1204.23,39.36,3.26,21.1,1.16,0.93,0.24,43.00,1211.00,0.39,1178.90,-2.27,1181.95,,15:20,close,-35.4
2026-07-08,09:47,09:48,KALYANKJIL,CALL,370,373.50,354.75,360.00,366.14,14.45,3.87,15.7,1.00,0.81,0.08,16.41,386.40,3.45,368.70,-1.29,375.45,13:25,14:15,breakeven,15.0
2026-07-08,09:33,09:34,INDUSTOWER,CALL,390,388.25,382.80,381.00,382.58,10.24,2.64,6.6,1.00,0.68,0.07,9.51,396.00,2.00,385.50,-0.71,390.50,11:29,15:20,close,16.3
2026-07-09,09:27,09:28,KALYANKJIL,CALL,410,407.80,374.15,380.00,398.15,15.73,3.86,25.4,2.01,1.79,0.08,14.85,447.65,9.77,405.00,-0.69,443.65,09:56,11:02,full target,55.0
2026-07-09,09:27,09:28,SWIGGY,CALL,280,276.23,261.41,262.00,272.39,9.18,3.32,5.2,1.55,1.48,0.07,7.54,280.90,1.69,274.00,-0.81,279.40,,15:20,close,9.9
2026-07-10,09:45,09:46,KALYANKJIL,CALL,480,475.95,443.00,451.10,466.08,19.92,4.18,46.5,1.88,1.29,0.33,18.22,483.00,1.48,465.00,-2.30,471.10,,15:20,close,-20.9
2026-07-10,09:46,09:47,DIXON,PUT,13600,13630.00,13477.00,13875.00,13838.46,439.94,3.23,9.2,1.00,0.59,0.05,429.05,13380.00,1.83,13720.00,-0.66,13409.00,,15:20,close,17.4
2026-07-10,09:44,09:45,CDSL,CALL,1400,1395.50,1346.50,1353.50,1386.04,33.43,2.40,5.3,1.38,1.31,0.04,31.61,1443.00,3.40,1392.50,-0.21,1435.40,10:19,13:54,full target,55.0
2026-07-10,09:36,09:37,JIOFIN,CALL,240,239.10,233.37,235.00,237.04,5.09,2.13,5.0,1.03,0.76,0.07,4.71,243.50,1.84,238.92,-0.08,241.78,09:42,11:25,breakeven,15.0
2026-07-13,09:28,09:29,KALYANKJIL,CALL,490,494.20,476.15,470.50,482.89,21.40,4.33,27.7,1.20,1.07,0.06,23.77,531.90,7.63,490.35,-0.78,521.25,10:17,12:17,full target,55.0
2026-07-13,09:58,09:59,DMART,CALL,4000,4007.90,4081.10,3950.00,3967.58,103.11,2.57,10.4,1.02,0.55,0.06,108.23,4009.70,0.04,3965.00,-1.07,3990.00,,15:20,close,-16.4
2026-07-13,09:27,09:28,LTF,CALL,330,330.70,321.25,321.25,324.88,10.43,3.15,5.6,1.24,0.82,0.11,10.89,333.50,0.85,325.00,-1.72,325.75,,15:20,close,-30.0
2026-07-14,09:33,09:34,BIOCON,CALL,440,435.00,410.95,427.35,429.08,12.30,2.83,48.9,1.07,0.64,0.01,10.12,444.50,2.18,431.85,-0.72,438.15,10:14,10:22,breakeven,15.0
2026-07-16,09:27,09:28,HDFCLIFE,PUT,560,559.40,568.75,585.00,570.62,13.82,2.47,12.7,2.07,1.82,0.03,14.28,557.00,0.43,569.50,-1.81,566.85,,15:20,close,-31.4
2026-07-16,09:27,09:28,DIXON,CALL,14600,14564.00,13651.00,14101.00,14476.21,430.26,2.95,11.2,1.36,1.04,0.31,417.28,14666.00,0.70,14161.00,-2.77,14465.00,,15:20,close,-19.9
2026-07-16,09:27,09:28,HDFCAMC,PUT,2600,2605.90,2729.20,2722.30,2646.13,78.98,3.03,9.6,1.61,1.48,0.04,76.76,2587.60,0.70,2627.50,-0.83,2599.60,,15:20,close,-5.0
2026-07-16,09:27,09:28,ANGELONE,PUT,340,336.60,343.40,347.05,341.67,11.39,3.38,8.8,1.17,0.93,0.03,13.41,334.35,0.67,355.30,-5.56,336.40,,11:12,stopped,-50.0
2026-07-17,09:31,09:32,JIOFIN,PUT,245,245.14,235.65,247.50,247.00,5.11,2.09,32.2,1.12,0.60,0.03,5.09,242.35,1.14,248.50,-1.37,243.39,,15:20,close,8.6
2026-07-17,09:27,09:28,POLYCAB,PUT,9000,8953.00,9215.00,9169.50,8973.68,259.36,2.90,6.7,1.10,0.93,0.16,287.85,8850.00,1.15,9025.00,-0.80,8877.50,,15:20,close,5.5
2026-07-20,09:36,09:37,AXISBANK,PUT,1250,1257.20,1328.50,1275.00,1269.37,27.24,2.17,12.2,1.01,0.62,0.06,23.95,1249.10,0.64,1268.20,-0.87,1257.10,,15:20,close,-8.9
2026-07-20,09:35,09:36,FEDERALBNK,CALL,350,346.65,349.00,341.50,347.05,7.95,2.29,6.6,1.04,0.72,0.31,6.48,352.20,1.60,345.60,-0.30,351.10,14:13,15:20,close,26.6
2026-07-20,09:27,09:28,RBLBANK,CALL,370,369.20,368.10,360.55,367.07,10.55,2.86,5.4,1.04,0.84,0.20,10.27,373.75,1.23,358.60,-2.87,368.85,,15:20,close,-10.4
2026-07-22,09:30,09:31,BANDHANBNK,PUT,180,181.34,208.83,187.95,188.98,7.25,4.00,24.8,1.55,0.71,0.25,6.64,169.56,6.50,183.80,-1.36,173.40,10:29,12:05,full target,55.0
2026-07-22,09:27,09:28,BAJAJ-AUTO,CALL,10800,10754.00,10403.50,10610.00,10706.64,212.67,1.98,13.1,1.24,0.87,0.20,192.86,11014.50,2.42,10650.00,-0.97,10985.00,11:26,15:20,close,43.3
2026-07-22,09:27,09:28,TVSMOTOR,CALL,3900,3927.50,3792.00,3850.70,3901.76,96.87,2.47,12.2,1.08,0.75,0.10,112.40,3965.00,0.95,3886.00,-1.06,3910.40,,15:20,close,-16.2
2026-07-23,09:27,09:28,OFSS,PUT,11000,10992.00,10851.00,11299.00,11175.65,387.86,3.53,15.3,1.10,0.77,0.08,396.36,9937.00,9.60,11110.00,-1.07,10836.00,09:38,10:05,full target,55.0
2026-07-23,09:30,09:31,INDUSINDBK,PUT,1000,1023.00,1069.30,1036.60,1028.56,24.74,2.42,12.7,1.10,0.54,0.33,14.72,998.15,2.43,1023.40,-0.04,1008.45,09:37,15:20,close,28.1
2026-07-23,09:27,09:28,DRREDDY,CALL,1150,1147.00,1182.80,1101.00,1136.61,30.79,2.68,12.2,1.59,1.49,0.10,29.68,1169.70,1.98,1144.10,-0.25,1167.30,14:38,15:20,close,28.9
2026-07-23,09:27,09:28,NESTLEIND,PUT,1450,1471.20,1493.60,1500.10,1487.66,30.55,2.08,6.2,1.06,0.89,0.06,21.04,1445.10,1.77,1474.40,-0.22,1446.30,09:44,10:52,breakeven,15.0
2026-07-24,09:27,09:28,SONACOMS,CALL,740,730.95,719.75,710.95,729.27,18.84,2.58,7.1,1.70,1.09,0.30,14.89,741.65,1.46,705.00,-3.55,717.95,,10:01,stopped,-50.0
